"time_series_id","registered_resource_eic_code","bm_unit_id","ngc_bm_unit_id","psr_type","market_generation_unit_eic_code","market_generation_bm_unit_id","market_generation_ngc_bm_unit_id","settlement_date","settlement_period","quantity"
"ELX-EMFIP-AGOG-TS-424","48W000000TORN-1G","T_TORN-1","TORN-1","Generation","48W000000TORN-1G","T_TORN-1","TORN-1","2022-01-01",1,"622.592"
"ELX-EMFIP-AGOG-TS-288","48W00000BEATO-1T","T_BEATO-1","BEATO-1","Generation","48W00000BEATO-1T","T_BEATO-1","BEATO-1","2022-01-01",1,"46.324"
"ELX-EMFIP-AGOG-TS-275","48W000CAS-CLU01B","M_CAS-CLU01","CAS-CLU01","Generation","48W000CAS-CLU01B","M_CAS-CLU01","CAS-CLU01","2022-01-01",1,"24.932"
"ELX-EMFIP-AGOG-TS-290","48W00000BEATO-3P","T_BEATO-3","BEATO-3","Generation","48W00000BEATO-3P","T_BEATO-3","BEATO-3","2022-01-01",1,"71.27"
"ELX-EMFIP-AGOG-TS-276","48W000CAS-CON01O","M_CAS-CON01","CAS-CON01","Generation","48W000CAS-CON01O","M_CAS-CON01","CAS-CON01","2022-01-01",1,"42.128"
"ELX-EMFIP-AGOG-TS-289","48W00000BEATO-2R","T_BEATO-2","BEATO-2","Generation","48W00000BEATO-2R","T_BEATO-2","BEATO-2","2022-01-01",1,"36.186"
"ELX-EMFIP-AGOG-TS-278","48W000CAS-MOR01M","M_CAS-MOR01","CAS-MOR01","Generation","48W000CAS-MOR01M","M_CAS-MOR01","CAS-MOR01","2022-01-01",1,"2.884"
"ELX-EMFIP-AGOG-TS-291","48W00000BEATO-4N","T_BEATO-4","BEATO-4","Generation","48W00000BEATO-4N","T_BEATO-4","BEATO-4","2022-01-01",1,"61.916"
"ELX-EMFIP-AGOG-TS-295","48W000000BLLA-1K","T_BLLA-1","BLLA-1","Generation","48W000000BLLA-1K","T_BLLA-1","BLLA-1","2022-01-01",1,"26.944"
"ELX-EMFIP-AGOG-TS-368","48W00000HOWAO-2K","T_HOWAO-2","HOWAO-2","Generation","48W00000HOWAO-2K","T_HOWAO-2","HOWAO-2","2022-01-01",1,"377.7"
"ELX-EMFIP-AGOG-TS-333","48W000000FASN-18","T_FASN-1","FASN-1","Generation","48W000000FASN-18","T_FASN-1","FASN-1","2022-01-01",1,"7.162"
"ELX-EMFIP-AGOG-TS-369","48W00000HOWAO-3I","T_HOWAO-3","HOWAO-3","Generation","48W00000HOWAO-3I","T_HOWAO-3","HOWAO-3","2022-01-01",1,"376.656"
"ELX-EMFIP-AGOG-TS-352","48W100000GRMO-1N","T_GRMO-1","GRMO-1","Generation","48W100000GRMO-1N","T_GRMO-1","GRMO-1","2022-01-01",1,"116.18"
"ELX-EMFIP-AGOG-TS-367","48W00000HOWAO-1M","T_HOWAO-1","HOWAO-1","Generation","48W00000HOWAO-1M","T_HOWAO-1","HOWAO-1","2022-01-01",1,"363.096"
"ELX-EMFIP-AGOG-TS-425","48W000000TORN-2E","T_TORN-2","TORN-2","Generation","48W000000TORN-2E","T_TORN-2","TORN-2","2022-01-01",1,"658.784"
"ELX-EMFIP-AGOG-TS-174","48W00000LCSMH-1T","2__PMARB001","LCSMH-1","Generation","48W00000LCSMH-1T","2__PMARB001","LCSMH-1","2022-01-01",1,"6.024"
